"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
78550.9,48448,106256,12120.4,9764,81352.3,357.86,182.12,2391.75,34850.4,5447.52,10468.4,241.5,4205.76,100.5
109065,71469,100011,15396.4,12317,81920.9,1054.44,311.46,1705.5,16141.3,3363.36,12706.2,303.75,8558.16,100.5
95148.3,52365,119080,36676.4,25837,93030.3,203,207.06,3351.75,37153,6716.58,9824.88,645.75,1971.84,100.8
79511,37780,137926,55042.3,32064,112502,1259.18,263.9,4524,28005.1,6885.84,17623.3,1144.5,9766.38,101
61256.4,35879,111890,23715.9,17155,90600.1,1338.06,143.26,2136.75,11338.1,2792.4,8070.66,574.5,11690.6,101.5
85414.8,55451,100949,25488.1,19343,86356.1,415.86,99.18,1909.5,16173.3,3254.16,5995.08,387,4362.54,102.7
97635.1,50840,125858,39683.3,26024,99934,1141.44,306.24,4776,53908.1,8981.7,15360.5,789.75,8494.2,103.5
154117,82342,122661,35258.3,24050,96078.6,459.36,273.76,5937,75677.2,12168.8,16532.1,727.5,3460.08,103.8
51825.5,29195,116336,27551.9,18239,98999.1,700.06,228.52,4513.5,30546.4,5623.02,16741.1,631.5,7862.4,104
108237,56955,124544,30358.4,20415,97456.1,237.22,78.88,3246,33606.3,6072.3,8469.24,594.75,1707.42,104.1
119274,76211,102567,18992.2,14243,87388.5,446.02,194.88,2697,14548.6,3610.62,5762.64,772.5,2282.28,105
119342,64912,120489,37000.9,26816,90426.9,606.1,182.7,4577.25,48733.6,8048.82,9115.08,758.25,4858.62,105.1
123244,71763,112550,41279.9,27991,96649.7,941.34,179.8,4939.5,35297.3,7834.32,7707.18,1264.5,3973.32,105.6
120309,67428,116933,23925.7,17840,87892.2,319.58,149.06,2877,27526.2,5297.76,13171.1,545.25,1930.5,105.9
124393,66381,122810,38581.1,27181,93022.8,824.76,216.92,3152.25,17843.3,4375.8,9172.8,813.75,6210.36,106.2
145678,84302,113250,24467,18110,88540.7,885.66,285.36,4067.25,49877.9,8681.4,16369.9,484.5,9226.62,106.4
108842,69467,102683,39902.5,27419,95373.6,594.5,163.56,3148.5,19161.5,4385.16,7835.88,748.5,5358.6,106.9
85129.2,54687,102017,26428,19519,88733.2,173.42,22.04,2826.75,31154,5319.6,7071.48,506.25,1834.56,107
133069,82063,106269,37695.1,26607,92847.1,489.52,178.06,6916.5,95787.1,14907.4,7414.68,787.5,2864.94,108.5
