"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
109495,68211,105201,16627.3,13331,81740.6,510.4,164.14,1588.5,17430.7,3238.56,9347.52,296.25,3272.1,217.3
116640,84790,90153.3,18390.8,14914,80814.1,770.24,252.3,1773.75,23417.2,4044.3,16350.4,249.75,7995.78,217.8
90890.2,50010,119108,30208.6,21118,93747.1,534.76,603.78,6827.25,100643,16151.5,41421.1,611.25,5024.76,217.9
92403.2,55178,109749,18319.1,13998,85766.5,363.08,166.46,1567.5,11987.8,2670.72,8635.38,324.75,3554.46,218.8
104596,63386,108144,20519.5,15370,87492.7,162.4,157.76,1250.25,5740.02,1798.68,12659.4,312.75,832.26,219
85707.9,50962,110218,24119.9,17142,92213.5,100.92,64.38,3762.75,48934.1,7633.08,6877.26,411.75,1186.38,219.1
57685.1,33503,112839,20010.9,14875,88163.6,459.94,183.28,2248.5,25282.9,4604.34,16086.7,373.5,5342.22,221.3
110018,58732,122763,24818.8,16492,98625.2,779.52,183.28,3043.5,29008.2,5600.4,10698.5,596.25,6912.36,221.9
75615.3,41669,118926,27813.2,18693,97510.8,399.62,64.38,5383.5,79106.8,12029.2,9474.66,584.25,2284.62,222.9
168908,101655,108893,47863.9,31507,99559.1,1119.98,371.78,7196.25,94527.4,14890.2,27331.2,746.25,9396.66,224
54665.2,36553,98009.4,11945.7,9997,78310.8,267.96,53.94,1418.25,14875.4,2578.68,6259.5,207,2017.86,224.1
101868,58823,113493,30478.5,21923,91111.6,303.92,268.54,5769.75,88504.3,13547,15710,505.5,2574.78,224.2
108689,72251,98587.6,32709.3,23275,92100.4,678.6,121.22,3339.75,40770.6,6982.56,18772.3,519.75,7492.68,224.4
114272,62227,120349,28076.9,18663,98593.3,788.8,439.06,6823.5,103586,16307.5,28594,604.5,8165.04,224.7
107376,73209,96122,13634.4,10909,81908.9,266.8,111.36,1804.5,20380.6,3524.04,7714.2,296.25,3200.34,225.6
93155.9,63246,96528.9,16789.5,13358,82371.4,257.52,233.74,2871,44694,7291.44,21359.5,252,3358.68,225.7
95273.4,49879,125180,23912.5,15735,99595,564.34,222.14,4175.25,57464.9,9170.46,14824.7,465,5094.96,225.9
101793,58254,114517,20432.1,15290,87576.1,952.36,323.64,2694.75,30375.5,5562.18,17485.3,414.75,9532.38,226.2
91870.7,54729,110012,14091.5,11273,81921.3,494.16,132.24,2659.5,38519.5,5830.5,3351.66,333,4393.74,226.8
90814.7,50980,116744,32855.9,21792,98809,1512.64,318.42,4263.75,51460.5,8641.62,17558.6,561.75,16441.6,228
74109.1,50787,95631.1,13870,11303,80419.5,379.32,103.24,3383.25,55144.4,8431.02,12081.4,278.25,3495.96,229.8
122707,75733,106185,19887.7,15089,86378,852.6,150.22,2484.75,33547.8,5467.8,11573.6,318.75,8303.1,230.7
142584,72866,128241,35603.1,24886,93758.9,497.06,172.84,5889.75,85136.2,13171.9,14852,549,1889.94,231.4
89278.6,58962,99232.7,14628.1,11778,81394.8,283.04,161.82,2256,25408.5,4347.72,12407.5,362.25,3487.38,232.1
50843.6,40462,82351,10587.7,9530,72809.7,205.9,27.84,580.5,4373.46,1042.86,4173.78,174.75,444.6,232.2
63502.5,30394,136925,30136.9,19546,101046,332.92,145.58,3046.5,33409,5968.56,14009.6,483,1575.6,232.4
81637.4,47882,111737,20449.3,14394,93105.6,893.2,371.78,2304,30973.8,5414.76,21982,275.25,8116.68,232.5
128666,72534,116252,20427.4,13846,96687.2,552.74,278.4,2059.5,17765.3,4002.18,23373.5,454.5,4257.24,233.3
133338,76957,113549,33391,22174,98688.3,441.96,387.44,5764.5,80907.1,13151.6,22451.5,606,2571.66,233.9
78875.2,42904,120482,18137.3,13500,88048.1,691.36,224.46,1606.5,15123.4,2864.16,11522.2,337.5,7264.14,233.9
128441,77859,108112,21074.8,16439,84017.2,460.52,167.04,3074.25,41570.1,6677.58,9881.04,387.75,3725.28,234.3
122660,75023,107149,29883.4,22143,88444.9,399.62,171.68,2605.5,9761.7,3480.36,9621.3,675.75,2430.48,236.1
